experiment,n_features_mean,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,delta_mae_vs_baseline,delta_mae_vs_full_model
baseline_plus_promo,139.0,498430.4108867368,25638.21438778528,689217.8756771852,42870.93649026748,0.8253502057488097,0.018225650246846043,-7397.881273055507,-17965.53586849064
curated_promo_cogs,190.0,499829.1365743319,27553.360271191024,691205.373794461,34152.29846983688,0.8244437965536201,0.014130008306771281,-5999.155585460423,-16566.810180895554
curated_pruned_no_traffic,506.0,504172.34440354817,21810.76373037172,703883.3733004312,49638.444656672866,0.8176068422166768,0.0237649328891281,-1655.9477562441607,-12223.602351679292
baseline_calendar_revenue_history,69.0,505828.2921597923,31326.249570441167,698406.988432698,41406.320343078565,0.8206747122684085,0.017947443534850074,0.0,-10567.654595435131
curated_pruned_full,643.0,507663.4387369626,25107.200929400275,710624.9466727007,46854.990398854665,0.8142502533063608,0.021251025828660664,1835.1465771702933,-8732.508018264838
full_minus_returns_reviews,911.0,510542.5816978629,22375.897919568928,716164.1603562627,44766.7625064685,0.8113686266810501,0.020578607880550485,4714.2895380705595,-5853.365057364572
baseline_plus_mix,385.0,511133.8591713764,26629.753375076238,718533.7112799474,50204.98009876589,0.8100251964462619,0.02337671532008068,5305.567011584062,-5262.087583851069
full_minus_inventory,793.0,512099.8652811151,17082.649585204177,709881.6047928281,49576.82615883127,0.8144996435000605,0.023858343697833576,6271.573121322785,-4296.081474112347
baseline_plus_cogs_history,120.0,514457.46377641795,29382.125903941982,712859.5688863633,41215.81296181219,0.8131766929616836,0.01839562309629672,8629.171616625623,-1938.4829788095085
full_minus_order_flow,881.0,515528.7763711293,25841.579004420175,720580.3118335613,41258.70343838429,0.8091305717515436,0.01832209208247865,9700.484211336996,-867.1703840981354
full_model,971.0,516395.94675522746,21737.95452312465,710586.6528677378,41452.98123859807,0.8143754529914956,0.018235472808649025,10567.654595435131,0.0
full_minus_promo,901.0,518463.1407990369,22870.376236707565,721064.3199124058,58567.335351346,0.8085687587033045,0.02706974068642659,12634.848639244563,2067.1940438094316
baseline_plus_traffic,206.0,520874.63507401996,33395.821136942024,717796.9799240689,49976.75956002344,0.810544092425935,0.021860626970256345,15046.342914227629,4478.688318792498
full_minus_traffic,834.0,521106.3933447488,15839.27418277361,720770.1152941984,49912.24957471311,0.8087845200076947,0.02422437948986525,15278.101184956497,4710.446589521365
full_minus_cogs_history,920.0,521612.13366444595,24721.11126613235,726202.6230663053,56127.700745070484,0.8057613652505459,0.027624287044999356,15783.841504653625,5216.186909218493
baseline_plus_returns_reviews,129.0,525441.3429650672,36775.50827990918,730954.2286957622,50416.246078970216,0.8035533257299776,0.022350096872826443,19613.05080527492,9045.39620983979
baseline_plus_order_flow,159.0,529365.0303180377,32178.035417830695,735851.2329213582,51541.03599786897,0.8008505808138127,0.02345027979323924,23536.738158245396,12969.083562810265
baseline_plus_inventory,247.0,530131.6275219951,28811.13099716442,734653.3033278383,42726.98894989244,0.8016363244621124,0.018759313029280328,24303.33536220278,13735.680766767648
full_minus_mix,655.0,533779.6560339722,34690.51254636019,739399.3470319103,41540.38678990056,0.7991223487067655,0.017736479833464956,27951.363874179835,17383.709278744704
