signal,lag,corr_with_revenue
unique_customers,0,0.9369988097816537
order_count,0,0.9359414011852007
total_units,0,0.9178487636253386
review_count,0,0.5598339743129553
return_qty,10,0.47919075304523023
refund_amt,11,0.456454911968767
days_of_supply_avg,0,-0.40329715863852
sell_through_rate_avg,0,0.3988601938486071
sessions,1,0.30564540110221877
unique_visitors,0,0.30295584033652684
page_views,1,0.29152204984526825
fill_rate_avg,0,-0.2522533523122828
total_discount,0,0.23200028462598912
promo_line_share,7,-0.14325166820967755
stockout_rate,0,0.11190970964292699
